date,year,data_type,cut,loc,rep,blk,row,rng,plant_no,name,plant_id,plant_name,check,plot,value,id_by_plot,id_by_plant_aug
10_04_17,2017,VIG,7,ALF16,3,2,16,4,4,CASIA,4_16_4,ALF16_4_16_4_CASIA,Test,4_16,0.2368,ALF16_4_16_CASIA,ALF16_4_16_4_CASIA
10_04_17,2017,VIG,7,ALF16,3,3,16,6,2,CASIA,6_16_2,ALF16_6_16_2_CASIA,Test,6_16,0.2368,ALF16_6_16_CASIA,ALF16_6_16_2_CASIA
10_04_17,2017,VIG,7,ALF16,3,4,14,8,6,CASIA,8_14_6,ALF16_8_14_6_CASIA,Test,8_14,0.2368,ALF16_8_14_CASIA,ALF16_8_14_6_CASIA
07_14_17,2017,VIG,5,ALF16,2,1,10,1,1,OTTM,1_10_1,ALF16_1_10_1_OTTM,Test,1_10,0.3214,ALF16_1_10_OTTM,ALF16_1_10_1_OTTM
07_14_17,2017,VIG,5,ALF16,2,1,10,1,3,OTTM,1_10_3,ALF16_1_10_3_OTTM,Test,1_10,0.3214,ALF16_1_10_OTTM,ALF16_1_10_3_OTTM
07_14_17,2017,VIG,5,ALF16,2,1,12,1,2,EURO,1_12_2,ALF16_1_12_2_EURO,Test,1_12,0.3214,ALF16_1_12_EURO,ALF16_1_12_2_EURO
07_14_17,2017,VIG,5,ALF16,2,1,11,2,1,EURO,2_11_1,ALF16_2_11_1_EURO,Test,2_11,0.3214,ALF16_2_11_EURO,ALF16_2_11_1_EURO
07_14_17,2017,VIG,5,ALF16,2,1,12,2,2,CASIA,2_12_2,ALF16_2_12_2_CASIA,Test,2_12,0.3214,ALF16_2_12_CASIA,ALF16_2_12_2_CASIA
07_14_17,2017,VIG,5,ALF16,2,2,10,3,1,EURO,3_10_1,ALF16_3_10_1_EURO,Test,3_10,0.3214,ALF16_3_10_EURO,ALF16_3_10_1_EURO
07_14_17,2017,VIG,5,ALF16,2,2,11,3,4,SIBR,3_11_4,ALF16_3_11_4_SIBR,Test,3_11,0.3214,ALF16_3_11_SIBR,ALF16_3_11_4_SIBR
07_14_17,2017,VIG,5,ALF16,2,3,10,6,4,OTTM,6_10_4,ALF16_6_10_4_OTTM,Test,6_10,0.3214,ALF16_6_10_OTTM,ALF16_6_10_4_OTTM
07_14_17,2017,VIG,5,ALF16,1,1,5,2,5,Genoa,2_5_5,ALF16_2_5_5_Genoa,Check2,2_5,0.375,ALF16_Genoa,ALF16_Genoa
07_14_17,2017,VIG,5,ALF16,1,1,1,1,5,OTTM,1_1_5,ALF16_1_1_5_OTTM,Test,1_1,0.375,ALF16_1_1_OTTM,ALF16_1_1_5_OTTM
07_14_17,2017,VIG,5,ALF16,1,1,2,1,1,SIBR,1_2_1,ALF16_1_2_1_SIBR,Test,1_2,0.375,ALF16_1_2_SIBR,ALF16_1_2_1_SIBR
07_14_17,2017,VIG,5,ALF16,1,1,5,1,3,SIBR,1_5_3,ALF16_1_5_3_SIBR,Test,1_5,0.375,ALF16_1_5_SIBR,ALF16_1_5_3_SIBR
08_31_16,2016,VIG,2,ALF16,1,1,2,2,3,CASIA,2_2_3,ALF16_2_2_3_CASIA,Test,2_2,0.375,ALF16_2_2_CASIA,ALF16_2_2_3_CASIA
07_14_17,2017,VIG,5,ALF16,4,1,20,2,5,SIBR,2_20_5,ALF16_2_20_5_SIBR,Test,2_20,0.375,ALF16_2_20_SIBR,ALF16_2_20_5_SIBR
07_14_17,2017,VIG,5,ALF16,1,1,6,2,6,CASIA,2_6_6,ALF16_2_6_6_CASIA,Test,2_6,0.375,ALF16_2_6_CASIA,ALF16_2_6_6_CASIA
07_14_17,2017,VIG,5,ALF16,3,2,16,3,2,CASIA,3_16_2,ALF16_3_16_2_CASIA,Test,3_16,0.375,ALF16_3_16_CASIA,ALF16_3_16_2_CASIA
07_14_17,2017,VIG,5,ALF16,1,2,3,4,5,EURO,4_3_5,ALF16_4_3_5_EURO,Test,4_3,0.375,ALF16_4_3_EURO,ALF16_4_3_5_EURO
07_14_17,2017,VIG,5,ALF16,1,4,1,7,2,EURO,7_1_2,ALF16_7_1_2_EURO,Test,7_1,0.375,ALF16_7_1_EURO,ALF16_7_1_2_EURO
05_16_17,2017,VIG,4,ALF16,1,4,1,7,2,EURO,7_1_2,ALF16_7_1_2_EURO,Test,7_1,0.4091,ALF16_7_1_EURO,ALF16_7_1_2_EURO
05_16_17,2017,VIG,4,ALF16,2,4,11,7,2,EURO,7_11_2,ALF16_7_11_2_EURO,Test,7_11,0.4091,ALF16_7_11_EURO,ALF16_7_11_2_EURO
05_16_17,2017,VIG,4,ALF16,3,4,14,7,4,SIBR,7_14_4,ALF16_7_14_4_SIBR,Test,7_14,0.4091,ALF16_7_14_SIBR,ALF16_7_14_4_SIBR
05_16_17,2017,VIG,4,ALF16,4,4,22,7,3,SIBR,7_22_3,ALF16_7_22_3_SIBR,Test,7_22,0.4091,ALF16_7_22_SIBR,ALF16_7_22_3_SIBR
