date,data_type,cut,Loc,rep,blk,row,rng,plant_no,name,plant_id,plant_names,plot,value,id_by_plot,id_by_plant_aug
10_31_18,HGT,4,ALF16,1,1,3,1,2,OTTM,1_3_2,ALF16_1_3_2_OTTM,1_3,15,ALF16_1_3_OTTM,ALF16_1_3_2_OTTM
10_31_18,HGT,4,ALF16,1,1,3,1,3,OTTM,1_3_3,ALF16_1_3_3_OTTM,1_3,17.5,ALF16_1_3_OTTM,ALF16_1_3_3_OTTM
10_31_18,HGT,4,ALF16,1,1,3,1,4,OTTM,1_3_4,ALF16_1_3_4_OTTM,1_3,10,ALF16_1_3_OTTM,ALF16_1_3_4_OTTM
10_31_18,HGT,4,ALF16,1,1,3,1,5,OTTM,1_3_5,ALF16_1_3_5_OTTM,1_3,10,ALF16_1_3_OTTM,ALF16_1_3_5_OTTM
10_31_18,HGT,4,ALF16,1,1,3,1,6,OTTM,1_3_6,ALF16_1_3_6_OTTM,1_3,10,ALF16_1_3_OTTM,ALF16_1_3_6_OTTM
09_22_19,HGT,5,ALF16,1,1,3,1,1,OTTM,1_3_1,ALF16_1_3_1_OTTM,1_3,37.5,ALF16_1_3_OTTM,ALF16_1_3_1_OTTM
09_22_19,HGT,5,ALF16,1,1,3,1,2,OTTM,1_3_2,ALF16_1_3_2_OTTM,1_3,55,ALF16_1_3_OTTM,ALF16_1_3_2_OTTM
09_22_19,HGT,5,ALF16,1,1,3,1,3,OTTM,1_3_3,ALF16_1_3_3_OTTM,1_3,70,ALF16_1_3_OTTM,ALF16_1_3_3_OTTM
09_22_19,HGT,5,ALF16,1,1,3,1,4,OTTM,1_3_4,ALF16_1_3_4_OTTM,1_3,52.5,ALF16_1_3_OTTM,ALF16_1_3_4_OTTM
09_22_19,HGT,5,ALF16,1,1,3,1,5,OTTM,1_3_5,ALF16_1_3_5_OTTM,1_3,27.5,ALF16_1_3_OTTM,ALF16_1_3_5_OTTM
09_22_19,HGT,5,ALF16,1,1,3,1,6,OTTM,1_3_6,ALF16_1_3_6_OTTM,1_3,40,ALF16_1_3_OTTM,ALF16_1_3_6_OTTM
07_12_17,HGT,1,ALF16,1,1,4,1,1,EURO,1_4_1,ALF16_1_4_1_EURO,1_4,50,ALF16_1_4_EURO,ALF16_1_4_1_EURO
07_12_17,HGT,1,ALF16,1,1,4,1,2,EURO,1_4_2,ALF16_1_4_2_EURO,1_4,55,ALF16_1_4_EURO,ALF16_1_4_2_EURO
07_12_17,HGT,1,ALF16,1,1,4,1,3,EURO,1_4_3,ALF16_1_4_3_EURO,1_4,55,ALF16_1_4_EURO,ALF16_1_4_3_EURO
07_12_17,HGT,1,ALF16,1,1,4,1,4,EURO,1_4_4,ALF16_1_4_4_EURO,1_4,30,ALF16_1_4_EURO,ALF16_1_4_4_EURO
07_12_17,HGT,1,ALF16,1,1,4,1,5,EURO,1_4_5,ALF16_1_4_5_EURO,1_4,35,ALF16_1_4_EURO,ALF16_1_4_5_EURO
07_12_17,HGT,1,ALF16,1,1,4,1,6,EURO,1_4_6,ALF16_1_4_6_EURO,1_4,40,ALF16_1_4_EURO,ALF16_1_4_6_EURO
08_18_17,HGT,2,ALF16,1,1,4,1,1,EURO,1_4_1,ALF16_1_4_1_EURO,1_4,47.5,ALF16_1_4_EURO,ALF16_1_4_1_EURO
08_18_17,HGT,2,ALF16,1,1,4,1,2,EURO,1_4_2,ALF16_1_4_2_EURO,1_4,60,ALF16_1_4_EURO,ALF16_1_4_2_EURO
08_18_17,HGT,2,ALF16,1,1,4,1,3,EURO,1_4_3,ALF16_1_4_3_EURO,1_4,40,ALF16_1_4_EURO,ALF16_1_4_3_EURO
08_18_17,HGT,2,ALF16,1,1,4,1,4,EURO,1_4_4,ALF16_1_4_4_EURO,1_4,32.5,ALF16_1_4_EURO,ALF16_1_4_4_EURO
08_18_17,HGT,2,ALF16,1,1,4,1,5,EURO,1_4_5,ALF16_1_4_5_EURO,1_4,25,ALF16_1_4_EURO,ALF16_1_4_5_EURO
08_18_17,HGT,2,ALF16,1,1,4,1,6,EURO,1_4_6,ALF16_1_4_6_EURO,1_4,50,ALF16_1_4_EURO,ALF16_1_4_6_EURO
10_05_17,HGT,3,ALF16,1,1,4,1,1,EURO,1_4_1,ALF16_1_4_1_EURO,1_4,30,ALF16_1_4_EURO,ALF16_1_4_1_EURO
10_05_17,HGT,3,ALF16,1,1,4,1,2,EURO,1_4_2,ALF16_1_4_2_EURO,1_4,55,ALF16_1_4_EURO,ALF16_1_4_2_EURO
10_05_17,HGT,3,ALF16,1,1,4,1,3,EURO,1_4_3,ALF16_1_4_3_EURO,1_4,25,ALF16_1_4_EURO,ALF16_1_4_3_EURO
10_05_17,HGT,3,ALF16,1,1,4,1,4,EURO,1_4_4,ALF16_1_4_4_EURO,1_4,17.5,ALF16_1_4_EURO,ALF16_1_4_4_EURO
10_05_17,HGT,3,ALF16,1,1,4,1,5,EURO,1_4_5,ALF16_1_4_5_EURO,1_4,15,ALF16_1_4_EURO,ALF16_1_4_5_EURO
10_05_17,HGT,3,ALF16,1,1,4,1,6,EURO,1_4_6,ALF16_1_4_6_EURO,1_4,25,ALF16_1_4_EURO,ALF16_1_4_6_EURO
10_31_18,HGT,4,ALF16,1,1,4,1,1,EURO,1_4_1,ALF16_1_4_1_EURO,1_4,12.5,ALF16_1_4_EURO,ALF16_1_4_1_EURO
10_31_18,HGT,4,ALF16,1,1,4,1,2,EURO,1_4_2,ALF16_1_4_2_EURO,1_4,12.5,ALF16_1_4_EURO,ALF16_1_4_2_EURO
10_31_18,HGT,4,ALF16,1,1,4,1,3,EURO,1_4_3,ALF16_1_4_3_EURO,1_4,10,ALF16_1_4_EURO,ALF16_1_4_3_EURO
10_31_18,HGT,4,ALF16,1,1,4,1,4,EURO,1_4_4,ALF16_1_4_4_EURO,1_4,0,ALF16_1_4_EURO,ALF16_1_4_4_EURO
10_31_18,HGT,4,ALF16,1,1,4,1,5,EURO,1_4_5,ALF16_1_4_5_EURO,1_4,0,ALF16_1_4_EURO,ALF16_1_4_5_EURO
10_31_18,HGT,4,ALF16,1,1,4,1,6,EURO,1_4_6,ALF16_1_4_6_EURO,1_4,10,ALF16_1_4_EURO,ALF16_1_4_6_EURO
09_22_19,HGT,5,ALF16,1,1,4,1,1,EURO,1_4_1,ALF16_1_4_1_EURO,1_4,42.5,ALF16_1_4_EURO,ALF16_1_4_1_EURO
09_22_19,HGT,5,ALF16,1,1,4,1,2,EURO,1_4_2,ALF16_1_4_2_EURO,1_4,50,ALF16_1_4_EURO,ALF16_1_4_2_EURO
09_22_19,HGT,5,ALF16,1,1,4,1,3,EURO,1_4_3,ALF16_1_4_3_EURO,1_4,30,ALF16_1_4_EURO,ALF16_1_4_3_EURO
